鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
中正區,房地(土地+建物),忠孝西路一段31~60號,5.56,都市：其他:第四種商業區。,,,1100205,土地1建物1車位0,二十四層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0790815,105.53,3,1,1,有,有,25280000,239553,,0.0,0,陽台外推;,RPQNMLQKLHGGFBA17DA,68.6,0.0,5.31,,
內湖區,房地(土地+建物)+車位,行善路271~300號,49.87,都市：其他:住商混合區(為容積接收區)。,,,1100118,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021227,295.59000000000003,3,2,3,有,有,62880000,222438,坡道平面,27.74,3300000,,RPWPMLSLJHGGFCA18DA,158.48,14.9,15.89,,
內湖區,房地(土地+建物)+車位,星雲街161巷1~30號,21.63,都市：其他:第三種住宅區。,,,1100202,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961026,163.45,2,2,2,有,有,37500000,229428,坡道平面,27.14,0,其他增建;,RPRRMLPJLHGGFCA57DA,83.67,10.28,5.05,有,009
內湖區,房地(土地+建物)+車位,內湖路二段103巷1~30號,74.54,都市：其他:第三種住宅區。,,,1091215,土地1建物1車位2,二十六層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1070619,516.95,0,0,0,無,有,190950000,423500,坡道平面,79.76,5800000,,RPXRMLRKLHGGFCA48DA,231.34,4.54,34.34,,
中山區,房地(土地+建物),林森北路451~480號,4.83,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100310,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920122,45.56,1,1,1,有,有,7000000,153644,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPRPMLSKLHGGFCA77DA,24.38,0.74,3.11,有,011
北投區,房地(土地+建物)+車位,北投路一段61~90號,16.02,都市：其他:第三種住宅區。,,,1100222,土地2建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981103,173.8,2,2,2,有,有,25000000,143843,升降平面,0.0,0,陽台外推;夾層;其他增建;,RPUPMLKKLHGGFEA47DA,60.24,8.31,5.92,,
大安區,房地(土地+建物),辛亥路二段171巷6弄1~30號,10.74,都市：其他:第三之二種住宅區。,,,1091203,土地3建物1車位0,十三層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720125,168.99,3,2,2,有,有,36650000,216877,,0.0,0,其他增建;,RPRPMLOJKHGGFFA47DA,139.63,0.0,20.99,,
大安區,房地(土地+建物),信義路四段99巷31~60號,20.01,都市：其他:第四種住宅區。,,,1100127,土地1建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860926,116.44,3,2,2,有,有,28000000,240467,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPXNMLRKLHGGFFA38DA,59.48,0.89,9.6,,
文山區,房地(土地+建物),景興路181~210號,3.79,都市：其他:第三種商業區。,,,1100203,土地1建物1車位0,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0850104,46.42,1,0,1,有,有,6300000,135717,,0.0,0,,RPPOMLTKLHGGFAA47EA,20.3,0.97,2.11,,
萬華區,房地(土地+建物)+車位,康定路31~60號,11.02,都市：其他:第四種商業區。,,,1100314,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000422,157.98000000000002,3,2,2,有,有,24600000,155716,坡道機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSNMLTKLHGGFBA77EA,82.7,1.55,15.54,,
